Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (Bytes),Transferred (Bytes),Total Transferred (Bytes),CO2 (mg),Carbon Rating,Word Count,Sentence Count,Average Words Per Sentence,Flesch Reading Ease Score,Readability,Text Ratio,Crawl Depth,Folder Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Near Duplicate Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,Language,HTTP Version,Mobile Alternate Link,Closest Semantically Similar Address,Semantic Similarity Score,No. Semantically Similar,Semantic Relevance Score,URL Encoded Address,Crawl Timestamp
https://www.syedirfanajmal.com/,text/html; charset=utf-8,200,OK,Indexable,,Syed Irfan Ajmal · Fractional CMO & Earned Media Strategist,59,536,"Fractional CMO, international speaker, and founder of DMR.agency. Helping founders and marketing teams get found, get covered, and get customers through GEO, SEO-PR, and earned media.",183,1184,,0,WHY PAY FOR ATTENTION WHEN YOU CAN EARN IT?,43,,0,Resources.,10,What clients say.,17,,,,,,,,,,72399,16265,16265,2.410473,,975,236,4.131355932,90.70936604,Very Easy,8.928723,0,0,,333,72,0,98.63,53,19,0,10,8,0,,,,,612fc6f083f35c75b1c0d3284e6c47c3,0.122,,,,,en,1.1,,,,,,https://www.syedirfanajmal.com/,2026-06-26 0:33:31
https://www.syedirfanajmal.com/_next/static/chunks/0d3shmwh5_nmn.js,application/javascript; charset=utf-8,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0,0,,0,,,,,0,1,3,,0,0,0,0,0,0,0,0,0,0,,,,,,0.236,"Thu, 25 Jun 2026 18:50:07 GMT",,,,,1.1,,,,,,https://www.syedirfanajmal.com/_next/static/chunks/0d3shmwh5_nmn.js,2026-06-26 0:33:33
https://www.syedirfanajmal.com/_next/static/chunks/0t1et0tty8o9s.js,application/javascript; charset=utf-8,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0,0,,0,,,,,0,1,3,,0,0,0,0,0,0,0,0,0,0,,,,,,0.253,"Thu, 25 Jun 2026 18:50:07 GMT",,,,,1.1,,,,,,https://www.syedirfanajmal.com/_next/static/chunks/0t1et0tty8o9s.js,2026-06-26 0:33:33
https://www.syedirfanajmal.com/gallery,text/html; charset=utf-8,200,OK,Indexable,,"Gallery · Speaking, Conferences & Travel · Syed Irfan Ajmal",59,520,"Photos from international conferences, keynotes, workshops, and travels — Dubai, Bali, Copenhagen, and beyond.",110,701,,0,Twelve photographs. Six reels. Three continents.,48,,0,"If you would like a similar room of your own, the booking desk is open.",71,Real case studies. Zero filler.,31,,,,https://www.syedirfanajmal.com/gallery,,,,,,78274,12649,12649,1.8745818,,496,101,4.910891089,90.98351006,Very Easy,4.490627,1,0,,64,63,0,86.3,40,17,0,8,8,0,,,,,f3020ab19664d738b9fa0b99342f097,0.142,,,,,en,1.1,,,,,,https://www.syedirfanajmal.com/gallery,2026-06-26 0:33:33
https://www.syedirfanajmal.com/resources,text/html; charset=utf-8,200,OK,Indexable,,"Resources · Playbooks, Guides & Tools · Syed Irfan Ajmal",56,502,"Free playbooks on personal branding, neuromarketing, storytelling, writing tips, and SEO-PR tools. Practical guides from a fractional CMO with 20+ years in digital marketing.",174,1065,,0,The frameworks behind the bylines.,34,,0,The show on the air.,20,Where the writing has gone.,27,,,,https://www.syedirfanajmal.com/resources,,,,,,118036,15884,15884,2.3540088,,907,231,3.926406926,82.80537503,Easy,5.204,1,0,,207,65,0,89.04,56,30,0,10,8,0,,,,,763894a91085fd2cdb91e33528340d12,0.306,,,,,en,1.1,,,,,,https://www.syedirfanajmal.com/resources,2026-06-26 0:33:33
https://www.syedirfanajmal.com/_next/static/chunks/0_h5ci9.9lmbh.js,application/javascript; charset=utf-8,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0,0,,0,,,,,0,1,3,,0,0,0,0,0,0,0,0,0,0,,,,,,0.085,"Thu, 25 Jun 2026 18:50:07 GMT",,,,,1.1,,,,,,https://www.syedirfanajmal.com/_next/static/chunks/0_h5ci9.9lmbh.js,2026-06-26 0:33:33
https://www.syedirfanajmal.com/assets/sia-logo-white.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,51319,51319,51319,7.6054758,,0,,,,,0,1,1,,0,0,0,0,0,0,0,0,0,0,,,,,,0.097,"Thu, 25 Jun 2026 18:50:07 GMT",,,,,1.1,,,,,,https://www.syedirfanajmal.com/assets/sia-logo-white.png,2026-06-26 0:33:33
https://www.syedirfanajmal.com/_next/static/chunks/03~yq9q893hmn.js,application/javascript; charset=utf-8,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0,0,,0,,,,,0,1,3,,0,0,0,0,0,0,0,0,0,0,,,,,,0.261,"Thu, 25 Jun 2026 19:19:50 GMT",,,,,1.1,,,,,,https://www.syedirfanajmal.com/_next/static/chunks/03~yq9q893hmn.js,2026-06-26 0:33:34
https://www.syedirfanajmal.com/_next/static/chunks/110q6k5sdl4es.js,application/javascript; charset=utf-8,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0,0,,0,,,,,0,1,3,,0,0,0,0,0,0,0,0,0,0,,,,,,0.28,"Thu, 25 Jun 2026 18:50:07 GMT",,,,,1.1,,,,,,https://www.syedirfanajmal.com/_next/static/chunks/110q6k5sdl4es.js,2026-06-26 0:33:34
https://www.syedirfanajmal.com/_next/static/chunks/turbopack-0_ac9-0rp3c.1.js,application/javascript; charset=utf-8,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0,0,,0,,,,,0,1,3,,0,0,0,0,0,0,0,0,0,0,,,,,,0.09,"Thu, 25 Jun 2026 18:50:07 GMT",,,,,1.1,,,,,,https://www.syedirfanajmal.com/_next/static/chunks/turbopack-0_ac9-0rp3c.1.js,2026-06-26 0:33:34
